,goodreads_book_id,books_count,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,tags_list,tags_string,cluster,dbscan_cluster
0,2767052,272,Suzanne Collins,2008.0,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",eng,4.34,4780653,4942365,155254,66715,127936,560092,1481305,2706317,"['favorites', 'currently-reading', 'young-adult', 'fiction', 'dystopian', 'dystopia', 'fantasy', 'ya', 'science-fiction', 'books-i-own', 'sci-fi', 'series', 'owned', 'favourites', 'romance', 'adventure', 'hunger-games', 'book-club', 'kindle', 'teen', 'read-in-2012', 'post-apocalyptic', 'my-books', 'the-hunger-games', 'favorite-books', 'action', 'suzanne-collins', 're-read', 'all-time-favorites', 'ya-fiction', 'survival', 'sci-fi-fantasy', 'books', 'favorite', 'scifi', '5-stars', 'i-own', 'read-in-2011', 'novels', 'ebook', 'audiobook', 'young-adult-fiction', 'thriller', 'my-favorites', 'audiobooks', 'read-2012', 'futuristic', 'ebooks', 'default', 'library', 'fantasy-sci-fi', 'suspense', 'shelfari-favorites', 'faves', 'reread', 'read-in-2010', 'my-library', 'audio', 'favorite-series', 'teen-fiction', 'ya-lit', 'ya-books', 'own-it', 'finished', 'action-adventure', 'love', 'love-triangle', 'favs', 'loved', 'distopia', 'read-in-2013', 'coming-of-age', 'dystopian-fiction', 'distopian', 'borrowed', 'english', 'to-buy', 'novel', 'read-more-than-once', 'favourite', 'read-2011', 'favourite-books', 'scifi-fantasy', 'ya-fantasy', 'future', 'read-in-2014', 'contemporary', 'trilogy', 'dystopias', 'e-book', 'reviewed', 'ya-dystopian', 'speculative-fiction', '2012-reads', 'finished-series', 'sf', 'completed-series', 'drama', '5-star', 'Suzanne Collins', 'The Hunger Games', 'The Hunger Games (The Hunger Games, #1)', 'eng', 2008.0]","favorites currently-reading young-adult fiction dystopian dystopia fantasy ya science-fiction books-i-own sci-fi series owned favourites romance adventure hunger-games book-club kindle teen read-in-2012 post-apocalyptic my-books the-hunger-games favorite-books action suzanne-collins re-read all-time-favorites ya-fiction survival sci-fi-fantasy books favorite scifi 5-stars i-own read-in-2011 novels ebook audiobook young-adult-fiction thriller my-favorites audiobooks read-2012 futuristic ebooks default library fantasy-sci-fi suspense shelfari-favorites faves reread read-in-2010 my-library audio favorite-series teen-fiction ya-lit ya-books own-it finished action-adventure love love-triangle favs loved distopia read-in-2013 coming-of-age dystopian-fiction distopian borrowed english to-buy novel read-more-than-once favourite read-2011 favourite-books scifi-fantasy ya-fantasy future read-in-2014 contemporary trilogy dystopias e-book reviewed ya-dystopian speculative-fiction 2012-reads finished-series sf completed-series drama 5-star Suzanne Collins The Hunger Games The Hunger Games (The Hunger Games, #1) eng 2008.0",7,0
1,3,491,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",eng,4.44,4602479,4800065,75867,75504,101676,455024,1156318,3011543,"['favorites', 'fantasy', 'currently-reading', 'young-adult', 'fiction', 'harry-potter', 'books-i-own', 'owned', 'owned', 'ya', 'series', 'favourites', 'magic', 'childrens', 're-read', 'children', 'adventure', 'owned-books', 'classics', 'children-s', 'childhood', 'reread', 'middle-grade', 'j-k-rowling', 'all-time-favorites', 'sci-fi-fantasy', 'children-s-books', 'kids', 'my-books', 'audiobook', 'favorite-books', 'default', 'novels', '5-stars', 'audiobooks', 'i-own', 'read-in-2016', 'favorite', 'paranormal', 'read-more-than-once', 'fantasy-sci-fi', 're-reads', 'my-library', 'read-in-2015', 'books', 'english', 'ya-fantasy', 'witches', 'childrens-books', 'british', 'teen', 'urban-fantasy', 'mystery', 'audio', 'favorite-series', 'supernatural', 'my-favorites', 'library', 'read-in-2014', 'novel', 'jk-rowling', 'read-in-2017', 'ya-fiction', 'faves', 'own-it', 'harry-potter-series', 'juvenile', 'kindle', 'childhood-favorites', 'wizards', 'rereads', 'kids-books', 'scifi-fantasy', 're-reading', 'read-in-english', 'young-adult-fiction', 'youth', 'read-2016', 'children-s-literature', 'classic', 'favourite', 'children-s-lit', 'ebook', 'to-re-read', 'childhood-books', 'contemporary', 'friendship', 'read-in-2013', 'shelfari-favorites', 'on-my-shelf', 'all-time-favourites', 'favs', 'to-buy', 'science-fiction-fantasy', 'read-2015', 'england', 'bookshelf', 'favourite-books', 'my-bookshelf', 'J.K. Rowling, Mary GrandPré', ""Harry Potter and the Philosopher's Stone"", ""Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"", 'eng', 1997.0]","favorites fantasy currently-reading young-adult fiction harry-potter books-i-own owned owned ya series favourites magic childrens re-read children adventure owned-books classics children-s childhood reread middle-grade j-k-rowling all-time-favorites sci-fi-fantasy children-s-books kids my-books audiobook favorite-books default novels 5-stars audiobooks i-own read-in-2016 favorite paranormal read-more-than-once fantasy-sci-fi re-reads my-library read-in-2015 books english ya-fantasy witches childrens-books british teen urban-fantasy mystery audio favorite-series supernatural my-favorites library read-in-2014 novel jk-rowling read-in-2017 ya-fiction faves own-it harry-potter-series juvenile kindle childhood-favorites wizards rereads kids-books scifi-fantasy re-reading read-in-english young-adult-fiction youth read-2016 children-s-literature classic favourite children-s-lit ebook to-re-read childhood-books contemporary friendship read-in-2013 shelfari-favorites on-my-shelf all-time-favourites favs to-buy science-fiction-fantasy read-2015 england bookshelf favourite-books my-bookshelf J.K. Rowling, Mary GrandPré Harry Potter and the Philosopher's Stone Harry Potter and the Sorcerer's Stone (Harry Potter, #1) eng 1997.0",7,-1
2,41865,226,Stephenie Meyer,2005.0,Twilight,"Twilight (Twilight, #1)",en-US,3.57,3866839,3916824,95009,456191,436802,793319,875073,1355439,"['young-adult', 'fantasy', 'favorites', 'vampires', 'ya', 'fiction', 'paranormal', 'books-i-own', 'vampire', 'twilight', 'paranormal-romance', 'supernatural', 'teen', 'urban-fantasy', 'owned-books', 'stephenie-meyer', 'my-books', 'favourites', 'werewolves', 'i-own', 'chick-lit', 're-read', 'ya-fiction', 'twilight-saga', 'default', 'young-adult-fiction', 'sci-fi-fantasy', 'contemporary', 'twilight-series', 'books', 'love', 'ya-fantasy', 'horror', 'book-club', 'my-library', 'novels', 'favorite', 'favorite-books', 'teen-fiction', 'guilty-pleasures', 'high-school', 'read-more-than-once', 'fantasy-sci-fi', 'stephanie-meyer', 'vamps', 'own-it', 'ya-books', 'my-favorites', 'shelfari-favorites', 'library', 'audiobook', 'kindle', 'finished', 'all-time-favorites', 'read-in-2009', 'love-triangle', '5-stars', 'vampire-books', 'read-in-2008', 'reread', 'ya-lit', 'abandoned', 'never-again', 'movies', 'audiobooks', 'science-fiction', 'finished-series', 'ya-paranormal', 'guilty-pleasure', 'currently-reading', 'movie', 'completed-series', 'english', 'sci-fi', 'already-read', 'did-not-finish', 'ebook', 'on-my-shelf', 'pnr', 'have', 'book-to-movie', 'meh', 'paranormal-fantasy', 'bookshelf', 'drama', 'my-bookshelf', 'ya-romance', 'séries', 'youngadult', 'favorite-series', 'first-in-series', 'young-adults', 'books-i-have', 'dnf', 'faves', 'fantasy-paranormal', 'scifi-fantasy', 'romantic', 'american', 'Stephenie Meyer', 'Twilight', 'Twilight (Twilight, #1)', 'en-US', 2005.0]","young-adult fantasy favorites vampires ya fiction paranormal books-i-own vampire twilight paranormal-romance supernatural teen urban-fantasy owned-books stephenie-meyer my-books favourites werewolves i-own chick-lit re-read ya-fiction twilight-saga default young-adult-fiction sci-fi-fantasy contemporary twilight-series books love ya-fantasy horror book-club my-library novels favorite favorite-books teen-fiction guilty-pleasures high-school read-more-than-once fantasy-sci-fi stephanie-meyer vamps own-it ya-books my-favorites shelfari-favorites library audiobook kindle finished all-time-favorites read-in-2009 love-triangle 5-stars vampire-books read-in-2008 reread ya-lit abandoned never-again movies audiobooks science-fiction finished-series ya-paranormal guilty-pleasure currently-reading movie completed-series english sci-fi already-read did-not-finish ebook on-my-shelf pnr have book-to-movie meh paranormal-fantasy bookshelf drama my-bookshelf ya-romance séries youngadult favorite-series first-in-series young-adults books-i-have dnf faves fantasy-paranormal scifi-fantasy romantic american Stephenie Meyer Twilight Twilight (Twilight, #1) en-US 2005.0",12,0
3,2657,487,Harper Lee,1960.0,To Kill a Mockingbird,To Kill a Mockingbird,eng,4.25,3198671,3340896,72586,60427,117415,446835,1001952,1714267,"['classics', 'favorites', 'classic', 'historical-fiction', 'owned', 'school', 'clàssics', 'favourites', 'literature', 'young-adult', 'currently-reading', 'book-club', 'read-for-school', 'historical', 'novels', 'owned-books', 're-read', 'all-time-favorites', 'school-books', 'for-school', 'to-buy', 'coming-of-age', 'high-school', 'fiction', 'american', 'classic-literature', 'american-literature', 'favorite-books', 'ya', 'pulitzer', 'adult', '1001-books', 'novel', 'to-re-read', 'favorite', 'my-books', 'adult-fiction', 'literary-fiction', 'realistic-fiction', 'drama', 'library', 'read-in-2015', 'english', '20th-century', 'pulitzer-prize', 'general-fiction', 'modern-classics', 'southern', 'my-library', 'racism', 'default', 'shelfari-favorites', 'school-reads', 'reread', 'i-own', '5-stars', 'read-in-school', 'my-favorites', 'audiobook', 'classic-fiction', 'american-lit', 'childhood', 'books', 'history', 'banned-books', 'read-again', 'classic-lit', 'audiobooks', '1001', 'kindle', 'school-reading', 'to-reread', 'must-read', 'classics-to-read', 'literary', 'required-reading', 'audio', 'crime', 'to-read-again', 'faves', 'own-it', 'family', 'race', 'read-in-2016', 'the-classics', 'bookclub', 'harper-lee', 'contemporary', 'read-in-2014', 'mystery', 'usa', 'wish-list', 'american-classics', 'all-time-favourites', 'favourite', '1001-books-to-read-before-you-die', 'rory-gilmore-reading-challenge', 'ebook', 'read-2015', 'Harper Lee', 'To Kill a Mockingbird', 'To Kill a Mockingbird', 'eng', 1960.0]",classics favorites classic historical-fiction owned school clàssics favourites literature young-adult currently-reading book-club read-for-school historical novels owned-books re-read all-time-favorites school-books for-school to-buy coming-of-age high-school fiction american classic-literature american-literature favorite-books ya pulitzer adult 1001-books novel to-re-read favorite my-books adult-fiction literary-fiction realistic-fiction drama library read-in-2015 english 20th-century pulitzer-prize general-fiction modern-classics southern my-library racism default shelfari-favorites school-reads reread i-own 5-stars read-in-school my-favorites audiobook classic-fiction american-lit childhood books history banned-books read-again classic-lit audiobooks 1001 kindle school-reading to-reread must-read classics-to-read literary required-reading audio crime to-read-again faves own-it family race read-in-2016 the-classics bookclub harper-lee contemporary read-in-2014 mystery usa wish-list american-classics all-time-favourites favourite 1001-books-to-read-before-you-die rory-gilmore-reading-challenge ebook read-2015 Harper Lee To Kill a Mockingbird To Kill a Mockingbird eng 1960.0,0,0
4,4671,1356,F. Scott Fitzgerald,1925.0,The Great Gatsby,The Great Gatsby,eng,3.89,2683664,2773745,51992,86236,197621,606158,936012,947718,"['classics', 'favorites', 'fiction', 'classic', 'books-i-own', 'owned', 'literature', 'school', 'historical-fiction', 'romance', 'favourites', 'book-club', 'novels', 'read-for-school', 'american-literature', 'owned-books', 'high-school', 're-read', 'american', 'historical', 'for-school', 'adult', 'school-books', 'classic-literature', 'clàssics', 'adult-fiction', 'novel', 'read-in-2013', '1001-books', 'literary-fiction', '20th-century', 'to-buy', 'all-time-favorites', 'to-re-read', 'favorite-books', 'library', 'my-books', 'english', 'american-lit', 'modern-classics', 'reread', 'drama', 'general-fiction', 'audiobook', 'classic-fiction', 'my-library', '1920s', 'i-own', 'young-adult', 'default', 'audiobooks', 'school-reads', 'classic-lit', '1001', 'realistic-fiction', 'classics-to-read', 'to-reread', 'read-in-school', 'literary', 'ebook', 'currently-reading', 'read-in-2014', 'the-classics', 'books', 'school-reading', 'read-in-english', 'new-york', 'read-in-2015', 'favorite', 'rory-gilmore-reading-challenge', 'required-reading', 'usa', 'f-scott-fitzgerald', 'read-2013', 'audio', 'ebooks', 'own-it', 'read-again', 'bookclub', 'to-read-again', 'read-in-2016', 'read-in-2012', '1001-books-to-read-before-you-die', 'american-classics', 'read-in-high-school', 'my-favorites', 'america', 'wish-list', 'lit', 'read-more-than-once', 'love', 're-reads', 'stand-alone', '5-stars', 'banned-books', 'faves', 'finished', 'book-to-movie', 'on-my-shelf', 'F. Scott Fitzgerald', 'The Great Gatsby', 'The Great Gatsby', 'eng', 1925.0]",classics favorites fiction classic books-i-own owned literature school historical-fiction romance favourites book-club novels read-for-school american-literature owned-books high-school re-read american historical for-school adult school-books classic-literature clàssics adult-fiction novel read-in-2013 1001-books literary-fiction 20th-century to-buy all-time-favorites to-re-read favorite-books library my-books english american-lit modern-classics reread drama general-fiction audiobook classic-fiction my-library 1920s i-own young-adult default audiobooks school-reads classic-lit 1001 realistic-fiction classics-to-read to-reread read-in-school literary ebook currently-reading read-in-2014 the-classics books school-reading read-in-english new-york read-in-2015 favorite rory-gilmore-reading-challenge required-reading usa f-scott-fitzgerald read-2013 audio ebooks own-it read-again bookclub to-read-again read-in-2016 read-in-2012 1001-books-to-read-before-you-die american-classics read-in-high-school my-favorites america wish-list lit read-more-than-once love re-reads stand-alone 5-stars banned-books faves finished book-to-movie on-my-shelf F. Scott Fitzgerald The Great Gatsby The Great Gatsby eng 1925.0,0,0
5,11870085,226,John Green,2012.0,The Fault in Our Stars,The Fault in Our Stars,eng,4.26,2346404,2478609,140739,47994,92723,327550,698471,1311871,"['favorites', 'young-adult', 'fiction', 'ya', 'romance', 'books-i-own', 'contemporary', 'owned', 'favourites', 'realistic-fiction', 'book-club', 'john-green', 'read-in-2014', 'owned-books', 'made-me-cry', 'kindle', 'read-in-2013', 'teen', 'my-books', 'favorite-books', 'read-in-2012', 'ya-fiction', 'cancer', 'read-2014', 'coming-of-age', 'death', 'books', 'favorite', 'drama', 'all-time-favorites', 'love', '5-stars', 'i-own', 'contemporary-fiction', 're-read', 'novels', 'ebook', 'audiobook', 'young-adult-fiction', 'library', 'stand-alone', 'read-2013', '2014-reads', 'audiobooks', 'currently-reading', 'ebooks', 'to-buy', 'read-in-english', 'humor', 'the-fault-in-our-stars', 'tear-jerker', 'english', 'realistic', 'my-favorites', 'faves', 'sad', 'friendship', 'ya-lit', 'audio', 'ya-contemporary', 'books-that-made-me-cry', '2013-reads', 'teen-fiction', 'my-library', 'ya-books', 'finished', 'favs', 'reviewed', 'favourite-books', '2014-books', 'novel', 'on-my-shelf', 'reread', 'favourite', 'want-to-read', 'read-2012', 'read-in-2015', 'bookclub', 'chick-lit', 'funny', 'must-read', 'own-it', 'love-story', 'loved', 'borrowed', 'illness', 'my-bookshelf', 'bookshelf', 'tear-jerkers', 'emotional', 'family', 'contemporary-romance', 'i-cried', 'shelfari-favorites', 'e-books', 'general-fiction', 'e-book', 'default', 'signed', 'John Green', 'The Fault in Our Stars', 'The Fault in Our Stars', 'eng', 2012.0]",favorites young-adult fiction ya romance books-i-own contemporary owned favourites realistic-fiction book-club john-green read-in-2014 owned-books made-me-cry kindle read-in-2013 teen my-books favorite-books read-in-2012 ya-fiction cancer read-2014 coming-of-age death books favorite drama all-time-favorites love 5-stars i-own contemporary-fiction re-read novels ebook audiobook young-adult-fiction library stand-alone read-2013 2014-reads audiobooks currently-reading ebooks to-buy read-in-english humor the-fault-in-our-stars tear-jerker english realistic my-favorites faves sad friendship ya-lit audio ya-contemporary books-that-made-me-cry 2013-reads teen-fiction my-library ya-books finished favs reviewed favourite-books 2014-books novel on-my-shelf reread favourite want-to-read read-2012 read-in-2015 bookclub chick-lit funny must-read own-it love-story loved borrowed illness my-bookshelf bookshelf tear-jerkers emotional family contemporary-romance i-cried shelfari-favorites e-books general-fiction e-book default signed John Green The Fault in Our Stars The Fault in Our Stars eng 2012.0,7,0
6,5907,969,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,The Hobbit,en-US,4.25,2071616,2196809,37653,46023,76784,288649,665635,1119718,"['fantasy', 'favorites', 'classics', 'fiction', 'books-i-own', 'classic', 'adventure', 'young-adult', 'favourites', 'sci-fi-fantasy', 'tolkien', 'owned-books', 'high-fantasy', 'childrens', 'epic-fantasy', 'currently-reading', 'default', 'literature', 'novels', 'fantasy-sci-fi', 're-read', 'dragons', 'series', 'magic', 'children', 'my-books', 'clàssics', 'ya', 'j-r-r-tolkien', 'scifi-fantasy', 'all-time-favorites', 'children-s', 'my-library', '1001-books', 'i-own', 'library', 'kindle', 'books', 'audiobook', 'science-fiction', 'british', 'english', 'science-fiction-fantasy', 'sci-fi', 'novel', 'favorite-books', 'adult', 'audiobooks', 'epic', 'favorite', 'middle-earth', 'reread', 'lord-of-the-rings', 'school', 'classic-literature', 'fantasy-scifi', 'own-it', 'read-in-2013', '20th-century', 'read-in-2012', 'children-s-books', 'to-re-read', '1001', 'audio', 'book-club', 'kids', 'read-more-than-once', 'adult-fiction', '5-stars', 'sci-fi-and-fantasy', 'british-literature', 'read-in-2014', 'childhood-favorites', 'shelfari-favorites', 'fiction-fantasy', 'ebook', 'read-in-2015', 'fantasy-fiction', 'ebooks', 're-reads', 'my-favorites', 'abandoned', 'on-my-shelf', 'jrr-tolkien', 'childrens-books', 'favourite', 're-reading', 'audible', 'on-hold', 'to-reread', 'middle-grade', 'read-for-school', 'finished', 'my-bookshelf', 'read-again', '1001-books-to-read-before-you-die', 'speculative-fiction', 'personal-library', 'unfinished', 'J.R.R. Tolkien', 'The Hobbit or There and Back Again', 'The Hobbit', 'en-US', 1937.0]",fantasy favorites classics fiction books-i-own classic adventure young-adult favourites sci-fi-fantasy tolkien owned-books high-fantasy childrens epic-fantasy currently-reading default literature novels fantasy-sci-fi re-read dragons series magic children my-books clàssics ya j-r-r-tolkien scifi-fantasy all-time-favorites children-s my-library 1001-books i-own library kindle books audiobook science-fiction british english science-fiction-fantasy sci-fi novel favorite-books adult audiobooks epic favorite middle-earth reread lord-of-the-rings school classic-literature fantasy-scifi own-it read-in-2013 20th-century read-in-2012 children-s-books to-re-read 1001 audio book-club kids read-more-than-once adult-fiction 5-stars sci-fi-and-fantasy british-literature read-in-2014 childhood-favorites shelfari-favorites fiction-fantasy ebook read-in-2015 fantasy-fiction ebooks re-reads my-favorites abandoned on-my-shelf jrr-tolkien childrens-books favourite re-reading audible on-hold to-reread middle-grade read-for-school finished my-bookshelf read-again 1001-books-to-read-before-you-die speculative-fiction personal-library unfinished J.R.R. Tolkien The Hobbit or There and Back Again The Hobbit en-US 1937.0,10,0
7,5107,360,J.D. Salinger,1951.0,The Catcher in the Rye,The Catcher in the Rye,eng,3.79,2044241,2120637,44920,109383,185520,455042,661516,709176,"['classics', 'favorites', 'fiction', 'classic', 'young-adult', 'books-i-own', 'owned', 'literature', 'clàssics', 'school', 'favourites', 'novels', 'ya', 'coming-of-age', 'owned-books', 'american', 'american-literature', 'high-school', 'read-for-school', 'novel', 're-read', 'currently-reading', 'to-buy', '1001-books', 'classic-literature', 'school-books', 'book-club', 'for-school', 'library', '20th-century', 'to-re-read', 'modern-classics', 'english', 'realistic-fiction', 'classics-to-read', 'literary-fiction', 'all-time-favorites', 'general-fiction', 'default', 'favorite-books', 'my-books', 'contemporary', 'my-library', 'american-lit', 'adult', '1001', 'banned-books', 'classic-fiction', 'i-own', 'adult-fiction', 'rory-gilmore-reading-challenge', 'favorite', 'books', 'classic-lit', 'drama', 'to-reread', 'read-in-english', 'reread', '1001-books-to-read-before-you-die', 'literary', 'usa', 'the-classics', 'school-reads', 'teen', 'new-york', 'bildungsroman', 'to-read-classics', 'abandoned', 'own-it', 'read-in-school', 'wish-list', 'historical-fiction', 'read-in-2015', 'to-read-again', 'lit', 'american-classics', 'school-reading', 'required-reading', 'read-again', 'rory-gilmore-challenge', 'finished', 'read-in-2014', 'read-in-2013', 'read-in-2016', 'my-favorites', 'shelfari-favorites', 'must-read', 'j-d-salinger', 'read-in-high-school', '1950s', 'read-more-than-once', 'ebook', 'borrowed', 'did-not-finish', 'faves', 'america', 'rory-gilmore', 'favourite', 'unfinished', 'J.D. Salinger', 'The Catcher in the Rye', 'The Catcher in the Rye', 'eng', 1951.0]",classics favorites fiction classic young-adult books-i-own owned literature clàssics school favourites novels ya coming-of-age owned-books american american-literature high-school read-for-school novel re-read currently-reading to-buy 1001-books classic-literature school-books book-club for-school library 20th-century to-re-read modern-classics english realistic-fiction classics-to-read literary-fiction all-time-favorites general-fiction default favorite-books my-books contemporary my-library american-lit adult 1001 banned-books classic-fiction i-own adult-fiction rory-gilmore-reading-challenge favorite books classic-lit drama to-reread read-in-english reread 1001-books-to-read-before-you-die literary usa the-classics school-reads teen new-york bildungsroman to-read-classics abandoned own-it read-in-school wish-list historical-fiction read-in-2015 to-read-again lit american-classics school-reading required-reading read-again rory-gilmore-challenge finished read-in-2014 read-in-2013 read-in-2016 my-favorites shelfari-favorites must-read j-d-salinger read-in-high-school 1950s read-more-than-once ebook borrowed did-not-finish faves america rory-gilmore favourite unfinished J.D. Salinger The Catcher in the Rye The Catcher in the Rye eng 1951.0,8,0
9,1885,3455,Jane Austen,1813.0,Pride and Prejudice,Pride and Prejudice,eng,4.24,2035490,2191465,49152,54700,86485,284852,609755,1155673,"['classics', 'favorites', 'fiction', 'romance', 'classic', 'books-i-own', 'owned', 'favourites', 'historical-fiction', 'literature', 'historical', 'jane-austen', 'clàssics', 'owned-books', 'kindle', 'my-ebooks', 'all-time-favorites', 'novels', 'historical-romance', 'classic-literature', 're-read', 'adult', '19th-century', 'british', 'school', 'book-club', 'favorite', 'english', 'favorite-books', 'british-literature', 'my-books', '1001-books', 'audiobook', 'novel', 'i-own', 'adult-fiction', 'england', 'ebook', 'audiobooks', 'chick-lit', 'my-library', 'to-buy', 'austen', 'ebooks', 'regency', '5-stars', 'default', 'classics-to-read', 'library', 'love', 'classic-fiction', 'reread', 'my-favorites', 'english-literature', '1001', 'classic-lit', 'own-it', 'read-in-2016', 'high-school', 'shelfari-favorites', 'literary-fiction', 'read-for-school', 'faves', 'audio', 'drama', 'the-classics', 'read-more-than-once', 'to-re-read', 'favourite', 'general-fiction', 'abandoned', 'read-in-2015', 'for-school', 'books', 'stand-alone', 'school-books', 'all-time-favourites', 'e-book', 'e-books', 'read-in-english', 'on-my-shelf', 'on-hold', 'read-in-2014', 'rory-gilmore-reading-challenge', 'brit-lit', 'romantic', 'nook', 'favs', 'history', 're-reads', '1001-books-to-read-before-you-die', 'tbr', 'young-adult', 'favourite-books', 'literary', 'audible', 'read-in-2013', 'unfinished', 'women', 'Jane Austen', 'Pride and Prejudice', 'Pride and Prejudice', 'eng', 1813.0]",classics favorites fiction romance classic books-i-own owned favourites historical-fiction literature historical jane-austen clàssics owned-books kindle my-ebooks all-time-favorites novels historical-romance classic-literature re-read adult 19th-century british school book-club favorite english favorite-books british-literature my-books 1001-books audiobook novel i-own adult-fiction england ebook audiobooks chick-lit my-library to-buy austen ebooks regency 5-stars default classics-to-read library love classic-fiction reread my-favorites english-literature 1001 classic-lit own-it read-in-2016 high-school shelfari-favorites literary-fiction read-for-school faves audio drama the-classics read-more-than-once to-re-read favourite general-fiction abandoned read-in-2015 for-school books stand-alone school-books all-time-favourites e-book e-books read-in-english on-my-shelf on-hold read-in-2014 rory-gilmore-reading-challenge brit-lit romantic nook favs history re-reads 1001-books-to-read-before-you-die tbr young-adult favourite-books literary audible read-in-2013 unfinished women Jane Austen Pride and Prejudice Pride and Prejudice eng 1813.0,0,0
8,960,311,Dan Brown,2000.0,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",en-CA,3.85,2001311,2078754,25112,77841,145740,458429,716569,680175,"['fiction', 'mystery', 'favorites', 'thriller', 'dan-brown', 'owned', 'books-i-own', 'suspense', 'series', 'adventure', 'mystery-thriller', 'historical-fiction', 'crime', 'default', 'adult', 'thrillers', 'owned-books', 'currently-reading', 'contemporary', 'adult-fiction', 'religion', 'mystery-suspense', 'novel', 'favourites', 'my-books', 'general-fiction', 'fantasy', 'action', 'library', 'mysteries', 'contemporary-fiction', 'my-library', 'i-own', 'historical', 'conspiracy', 'action-adventure', 'suspense-thriller', 'robert-langdon', 'books', 'english', 'to-buy', 'crime-mystery', 'history', 'crime-thriller', 'borrowed', 'thriller-mystery', 'shelfari-favorites', 'drama', 'italy', 'science-fiction', 'audiobook', 'literature', 'brown-dan', 'kindle', 'finished', 'audiobooks', 'own-it', 'ebook', 'favorite', 'mystery-crime', 'american', 'other', 'thriller-suspense', 'sci-fi', 'modern-fiction', 'brown', 'detective', 'american-literature', 'all-time-favorites', 'book-club', 'religious', 'ebooks', 'paperback', 'movies', 'favorite-books', 'murder-mystery', 'audio', 'popular-fiction', '2005', 'bookshelf', 're-read', 'روايات', 'classics', 'romance', 'mystery-thrillers', 'mistery', 'wish-list', '2006', '5-stars', 'have', 'abandoned', 'read-fiction', 'art', 'favourite', 'home-library', 'movie', 'personal-library', 'realistic-fiction', 'modern', 'Dan Brown', 'Angels & Demons ', 'Angels & Demons  (Robert Langdon, #1)', 'en-CA', 2000.0]","fiction mystery favorites thriller dan-brown owned books-i-own suspense series adventure mystery-thriller historical-fiction crime default adult thrillers owned-books currently-reading contemporary adult-fiction religion mystery-suspense novel favourites my-books general-fiction fantasy action library mysteries contemporary-fiction my-library i-own historical conspiracy action-adventure suspense-thriller robert-langdon books english to-buy crime-mystery history crime-thriller borrowed thriller-mystery shelfari-favorites drama italy science-fiction audiobook literature brown-dan kindle finished audiobooks own-it ebook favorite mystery-crime american other thriller-suspense sci-fi modern-fiction brown detective american-literature all-time-favorites book-club religious ebooks paperback movies favorite-books murder-mystery audio popular-fiction 2005 bookshelf re-read روايات classics romance mystery-thrillers mistery wish-list 2006 5-stars have abandoned read-fiction art favourite home-library movie personal-library realistic-fiction modern Dan Brown Angels & Demons  Angels & Demons  (Robert Langdon, #1) en-CA 2000.0",3,0
